"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna","","","","","~"
"C1","1","10n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2","1","1n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3","1","33n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4,C5","2","22p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6,C8","2","C_Small","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","1p5","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9","1","1p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C10,C11","2","Cx","","","","Capacitor_SMD:C_0402_1005Metric","~"
"J1","1","Conn_01x08_Pin","","","","Connector_Hirose:Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical","~"
"L1","1","8n2","","","","Inductor_SMD:L_0402_1005Metric","~"
"L2","1","3n9","","","","Inductor_SMD:L_0402_1005Metric","~"
"L3","1","2n7","","","","Inductor_SMD:L_0402_1005Metric","~"
"L4","1","Lx","","","","Inductor_SMD:L_0402_1005Metric","~"
"R1","1","22k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","10M","","","","Resistor_SMD:R_0402_1005Metric","~"
"U1","1","nRF24L01P","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2726/34069/file/nRF24L01P_Product_Specification_1_0.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"
